iter	RMSE
0	0.1268988001
1	0.1235510777
2	0.1190476681
3	0.1140723509
4	0.1110583208
5	0.1070883052
6	0.1041943926
7	0.1011718445
8	0.09924794145
9	0.09793514912
10	0.09630617737
11	0.09427241635
12	0.09305935817
13	0.09162077439
14	0.09046721213
15	0.08884193575
16	0.08768937715
17	0.08691207904
18	0.08585494723
19	0.08510665542
20	0.08462308068
21	0.08385453461
22	0.08297707949
23	0.08244950393
24	0.08210231961
25	0.08114475736
26	0.08089690225
27	0.08028739855
28	0.07996752662
29	0.07969176884
30	0.07959348696
31	0.0793479052
32	0.07920689018
33	0.07866301865
34	0.07804809606
35	0.07794528237
36	0.07746103385
37	0.07725133543
38	0.07689860003
39	0.0766869345
40	0.07630466959
41	0.07616980346
42	0.07575801219
43	0.07572896202
44	0.07541447358
45	0.07530438796
46	0.07518901566
47	0.07509350398
48	0.07494146831
49	0.0748600138
